CITY,DISTRICT,GEOCODE,DAYTIME,T,TD,RH,WD,WS,BF,AT,Wx,Wx_n,PoP6h,PoP12h,get_day
臺北市,松山區,6300100,2019-05-13 00:00:00,24,23,93,偏東風,3,2,26,晴,01,0,10,2019-05-12
臺北市,松山區,6300100,2019-05-13 03:00:00,23,22,95,偏東風,2,2,25,晴,01,0,10,2019-05-12
臺北市,松山區,6300100,2019-05-13 06:00:00,23,22,94,東南風,1,<= 1,25,晴,01,10,10,2019-05-12
臺北市,松山區,6300100,2019-05-13 09:00:00,28,24,82,西北風,0,<= 1,32,多雲,04,10,10,2019-05-12
臺北市,松山區,6300100,2019-05-13 12:00:00,31,28,80,西北風,0,<= 1,37,午後短暫雷陣雨,15,30,30,2019-05-12
臺北市,松山區,6300100,2019-05-13 15:00:00,30,26,80,偏西風,1,<= 1,35,多雲,04,30,30,2019-05-12
臺北市,松山區,6300100,2019-05-13 18:00:00,27,25,86,西南風,1,<= 1,31,晴,01,10,30,2019-05-12
臺北市,松山區,6300100,2019-05-13 21:00:00,25,24,93,偏南風,1,<= 1,29,晴,01,10,30,2019-05-12
臺北市,信義區,6300200,2019-05-13 00:00:00,24,22,88,偏東風,3,2,26,晴,01,0,10,2019-05-12
臺北市,信義區,6300200,2019-05-13 03:00:00,23,21,90,偏東風,2,2,25,晴,01,0,10,2019-05-12
臺北市,信義區,6300200,2019-05-13 06:00:00,22,20,88,東南風,1,<= 1,24,晴,01,10,10,2019-05-12
臺北市,信義區,6300200,2019-05-13 09:00:00,27,22,76,西北風,1,<= 1,30,多雲,04,10,10,2019-05-12
臺北市,信義區,6300200,2019-05-13 12:00:00,31,28,80,西北風,1,<= 1,35,午後短暫雷陣雨,15,30,30,2019-05-12
臺北市,信義區,6300200,2019-05-13 15:00:00,30,25,77,偏西風,1,<= 1,34,多雲,04,30,30,2019-05-12
臺北市,信義區,6300200,2019-05-13 18:00:00,27,24,84,偏西風,1,<= 1,31,晴,01,10,30,2019-05-12
臺北市,信義區,6300200,2019-05-13 21:00:00,25,24,92,偏南風,1,<= 1,28,晴,01,10,30,2019-05-12
臺北市,大安區,6300300,2019-05-13 00:00:00,25,22,87,偏東風,3,2,27,晴,01,0,10,2019-05-12
臺北市,大安區,6300300,2019-05-13 03:00:00,24,22,89,偏東風,3,2,26,晴,01,0,10,2019-05-12
臺北市,大安區,6300300,2019-05-13 06:00:00,23,21,87,偏東風,0,<= 1,25,晴,01,10,10,2019-05-12
臺北市,大安區,6300300,2019-05-13 09:00:00,27,22,75,偏西風,1,<= 1,31,多雲,04,10,10,2019-05-12
臺北市,大安區,6300300,2019-05-13 12:00:00,31,28,80,西北風,1,<= 1,36,午後短暫雷陣雨,15,30,30,2019-05-12
臺北市,大安區,6300300,2019-05-13 15:00:00,30,25,76,偏西風,1,<= 1,35,多雲,04,30,30,2019-05-12
臺北市,大安區,6300300,2019-05-13 18:00:00,27,24,83,偏西風,2,<= 1,31,晴,01,10,30,2019-05-12
臺北市,大安區,6300300,2019-05-13 21:00:00,26,24,92,偏南風,1,<= 1,29,晴,01,10,30,2019-05-12
臺北市,中山區,6300400,2019-05-13 00:00:00,25,22,86,偏東風,3,2,27,晴,01,0,10,2019-05-12
臺北市,中山區,6300400,2019-05-13 03:00:00,24,22,88,偏東風,3,2,26,晴,01,0,10,2019-05-12
臺北市,中山區,6300400,2019-05-13 06:00:00,23,21,87,東南風,1,<= 1,25,晴,01,10,10,2019-05-12
臺北市,中山區,6300400,2019-05-13 09:00:00,27,22,74,西北風,1,<= 1,30,多雲,04,10,10,2019-05-12
臺北市,中山區,6300400,2019-05-13 12:00:00,31,28,80,西北風,1,<= 1,36,午後短暫雷陣雨,15,30,30,2019-05-12
臺北市,中山區,6300400,2019-05-13 15:00:00,30,25,74,偏西風,1,<= 1,34,多雲,04,30,30,2019-05-12
臺北市,中山區,6300400,2019-05-13 18:00:00,27,24,81,西南風,2,<= 1,31,晴,01,10,30,2019-05-12
臺北市,中山區,6300400,2019-05-13 21:00:00,26,24,90,偏南風,1,<= 1,29,晴,01,10,30,2019-05-12
臺北市,中正區,6300500,2019-05-13 00:00:00,25,23,89,偏東風,3,2,27,晴,01,0,10,2019-05-12
臺北市,中正區,6300500,2019-05-13 03:00:00,24,23,91,偏東風,3,2,26,晴,01,0,10,2019-05-12
臺北市,中正區,6300500,2019-05-13 06:00:00,24,22,90,偏東風,1,<= 1,25,晴,01,10,10,2019-05-12
臺北市,中正區,6300500,2019-05-13 09:00:00,28,23,78,偏西風,2,<= 1,31,多雲,04,10,10,2019-05-12
臺北市,中正區,6300500,2019-05-13 12:00:00,31,26,72,西北風,1,<= 1,35,多雲,04,10,10,2019-05-12
臺北市,中正區,6300500,2019-05-13 15:00:00,30,26,79,偏西風,2,<= 1,35,多雲,04,10,10,2019-05-12
臺北市,中正區,6300500,2019-05-13 18:00:00,28,25,86,偏西風,1,<= 1,31,晴,01,10,10,2019-05-12
臺北市,中正區,6300500,2019-05-13 21:00:00,26,25,94,偏南風,0,<= 1,30,晴,01,10,10,2019-05-12
臺北市,大同區,6300600,2019-05-13 00:00:00,25,23,87,偏東風,3,2,27,晴,01,0,10,2019-05-12
臺北市,大同區,6300600,2019-05-13 03:00:00,24,22,89,偏東風,3,2,26,晴,01,0,10,2019-05-12
臺北市,大同區,6300600,2019-05-13 06:00:00,24,21,88,偏東風,1,<= 1,25,晴,01,10,10,2019-05-12
臺北市,大同區,6300600,2019-05-13 09:00:00,27,22,75,偏西風,2,<= 1,31,多雲,04,10,10,2019-05-12
臺北市,大同區,6300600,2019-05-13 12:00:00,30,24,70,西北風,1,<= 1,34,多雲,04,10,10,2019-05-12
臺北市,大同區,6300600,2019-05-13 15:00:00,30,25,75,偏西風,1,<= 1,34,多雲,04,10,10,2019-05-12
臺北市,大同區,6300600,2019-05-13 18:00:00,27,24,82,西南風,2,<= 1,31,晴,01,10,10,2019-05-12
臺北市,大同區,6300600,2019-05-13 21:00:00,26,24,90,偏南風,0,<= 1,29,晴,01,10,10,2019-05-12
臺北市,萬華區,6300700,2019-05-13 00:00:00,25,23,89,偏東風,3,2,27,晴,01,0,10,2019-05-12
臺北市,萬華區,6300700,2019-05-13 03:00:00,24,23,91,偏東風,3,2,26,晴,01,0,10,2019-05-12
臺北市,萬華區,6300700,2019-05-13 06:00:00,24,22,90,偏東風,1,<= 1,25,晴,01,10,10,2019-05-12
臺北市,萬華區,6300700,2019-05-13 09:00:00,28,23,78,偏西風,2,<= 1,31,多雲,04,10,10,2019-05-12
臺北市,萬華區,6300700,2019-05-13 12:00:00,31,26,72,西北風,1,<= 1,35,多雲,04,10,10,2019-05-12
臺北市,萬華區,6300700,2019-05-13 15:00:00,30,26,79,偏西風,2,<= 1,35,多雲,04,10,10,2019-05-12
臺北市,萬華區,6300700,2019-05-13 18:00:00,28,25,86,偏西風,1,<= 1,31,晴,01,10,10,2019-05-12
臺北市,萬華區,6300700,2019-05-13 21:00:00,26,25,94,偏南風,0,<= 1,30,晴,01,10,10,2019-05-12
臺北市,文山區,6300800,2019-05-13 00:00:00,23,22,92,東南風,2,<= 1,26,晴,01,0,20,2019-05-12
臺北市,文山區,6300800,2019-05-13 03:00:00,22,21,93,東南風,2,<= 1,25,晴,01,0,20,2019-05-12
臺北市,文山區,6300800,2019-05-13 06:00:00,22,21,93,東南風,0,<= 1,24,晴,01,20,20,2019-05-12
臺北市,文山區,6300800,2019-05-13 09:00:00,27,24,82,偏西風,1,<= 1,31,多雲,04,20,20,2019-05-12
臺北市,文山區,6300800,2019-05-13 12:00:00,31,28,80,西北風,1,<= 1,36,午後短暫雷陣雨,15,30,30,2019-05-12
臺北市,文山區,6300800,2019-05-13 15:00:00,30,26,82,偏西風,1,<= 1,34,多雲,04,30,30,2019-05-12
臺北市,文山區,6300800,2019-05-13 18:00:00,27,25,89,偏西風,0,<= 1,30,多雲,04,10,30,2019-05-12
臺北市,文山區,6300800,2019-05-13 21:00:00,24,24,96,偏南風,0,<= 1,28,晴,01,10,30,2019-05-12
